puzzle,height,width,pop_size,generations,elite_frac,crowd_ratio,tsize,m_parents,seed,best_fitness,avg_fitness,std_fitness,runtime
tiger.non,50,75,200,800,0.1,0.2,4,4,42,0.8898908400569531,0.87492718302003,0.004107963347139462,972.4366779327393
tiger.non,50,75,200,800,0.1,0.2,4,4,42,1.1305396442568587,1.1113898897751735,0.004952410670238875,1214.7051179409027
mouse.non,10,25,200,800,0.1,0.2,4,4,42,1.5151515151515151,1.4773433974620962,0.01497397562316364,114.32613205909729
mouse.non,10,25,200,800,0.1,0.2,4,4,42,20.833333333333332,16.86634750053868,1.7440424109998045,109.67637348175049
flower.non,35,30,200,800,0.1,0.2,4,4,42,1.5064562410329987,1.4410014354956797,0.017436550991570123,398.04112792015076
flower.non,35,30,200,800,0.1,0.2,4,4,42,1.3409961685823755,1.275191172508488,0.014081971267957842,414.1212296485901
sun.non,60,50,200,800,0.1,0.2,4,4,42,0.8618213157138753,0.84019172120015,0.0050237153684964215,1116.0364799499512
sun.non,60,50,200,800,0.1,0.2,4,4,42,1.3020833333333333,1.268027037691826,0.006670399045799726,895.0809535980225
spade.non,23,23,200,800,0.1,0.2,4,4,42,3.0228571428571427,2.4393206370768477,0.12632169391564974,154.08410263061523
spade.non,23,23,200,800,0.1,0.2,4,4,42,4.681415929203539,4.118811424780232,0.12807114700788683,157.1240360736847
UofL.non,23,45,200,800,0.1,0.2,4,4,42,3.338709677419355,3.138054610532657,0.05729412864465837,278.63359904289246
UofL.non,23,45,200,800,0.1,0.2,4,4,42,1.099893730074389,0.9754706039379092,0.033462543510561396,279.7507526874542
